NOM;ANNEE;FDis;FDiv;FEve;FRic;FGR-6;gr1;gr2;gr3;gr4;gr5;gr6;RaoQ;sing;nbsp;forag;diet;nest;migr;date;home;eggs;mass;AEGCAU;ALAARV;ALERUF;ANTTRI;CARCAN;CARCAR;CARCHL;CERBRA;CISJUN;COLPAL;COTCOT;CUCCAN;DENMAJ;DENMED;DENMIN;DRYMAR;EMBCIR;EMBCIT;ERIRUB;FRICOE;GARGLA;HIPPOL;JYNTOR;LANCOL;LULARB;LUSMEG;MERAPI;MILCAL;MOTALB;MOTFLA;MUSSTR;ORIORI;PARCAE;PARMAJ;PARPAL;PHACOL;PHYBON;PHYCOL;PICPIC;PICVIR;PRUMOD;PYRPYR;REGIGN;SAXTOR;SERSER;SITEUR;STRDEC;STRTUR;STUVUL;SYLATR;SYLBOR;SYLCOM;TROTRO;TURMER;TURPHI;TURVIS;UPUEPO
A14;1981;0.405075749291746;0.768809516190305;0.840086734840076;0.176796055899754;5;14;4;2;4;0;10;0.167916644791286;16;16;prober;mixed;shrub;resid;march;small;5.52941176470588;100.464705882353;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;4;2;0;0
A15;1981;0.399804268609978;0.815045489853628;0.839082719776945;0.232879508581071;6;16;10;8;8;2;8;0.163176834829159;18;18;ground;mixed;ground;resid;lateapr;mid;5.40384615384615;57.7576923076923;2;0;0;4;0;2;2;0;0;0;0;4;0;0;0;0;2;4;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;2;0;0;4;6;2;0;0
A16;1981;0.363441122829523;0.845802344746841;0.812629728756382;0.187259987398144;5;14;16;4;2;0;4;0.139603051636556;14;14;canopy;insect;ground;short;earlapr;small;5.575;42.24;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0
A17;1981;0.376398119784343;0.838332844214127;0.841291554649496;0.226504705204246;6;8;10;4;4;2;5;0.148734568018634;13;13;ground;mixed;ground;short;may;small;4.98484848484849;39.5272727272727;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1;6;0;0;2;4;0;0;0
A18;1981;0.375498674384458;0.816916189406395;0.835006964043613;0.239848456293385;6;14;10;8;2;4;2;0.14646060727365;15;15;ground;insect;ground;resid;may;small;5.05;33.615;0;4;0;0;0;2;0;0;0;0;0;2;0;0;2;0;4;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;4;2;2;0;0;2
A19;1981;0.366697263046016;0.81829782465577;0.906606137278101;0.11146901096906;5;10;8;6;7;0;4;0.137714525703556;14;14;ground;insect;ground;resid;lateapr;mid;4.98571428571429;32.5457142857143;0;2;0;4;1;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;4;0;0;0
A20;1981;0.385715988766668;0.804543176189297;0.917605247520767;0.212609139634368;6;8;12;2;2;4;4;0.152828813258187;12;12;canopy;mixed;tree;short;lateapr;small;5.6875;39.2125;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;0;0;0;2;0;0;4;2;2;0;0
A21;1981;0.33989822876608;0.755831536136191;0.896379311565072;0.138255024458232;4;8;18;2;0;0;4;0.125649640904198;11;11;canopy;mixed;ground;short;lateapr;small;5.75;29.95625;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;2;0;0
A22;1981;0.363620662083558;0.791962907704488;0.770383076777692;0.150538091775305;5;6;17;4;4;0;6;0.145690375411983;10;10;under;mixed;shrub;short;lateapr;small;5.39189189189189;89.472972972973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;9;2;0;2;4;0;0;0
A23;1981;0.400565587439137;0.770397405033621;0.843343948475186;0.259885255675975;6;12;8;10;2;6;8;0.164631393623356;16;16;canopy;insect;cavity;short;earlapr;small;5.82608695652174;52.2652173913043;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;6;2;0;0;0;2;0;2;0;2;0;0;0;2;0;0;2;2;2;0;4;4;2;0;0
